
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
ECONN44X50                       J1                                 1   1     17  17   1 11         11 0 A5                  (100-32-13)
ECONN44X50                       J1                                 1   1     18  18   1 9           9 0 A4                  (100-31-13)
ECONN44X50                       J1                                 1   1     19  19   1 7           7 0 A3                  (100-30-13)
ECONN44X50                       J1                                 1   1     20  20   1 5           5 0 A2                  (100-29-13)
ECONN44X50                       J1                                 1   1     21  21   1 3           3 0 A1                  (100-28-13)
ECONN44X50                       J1                                 1   1     22  22   1 1           1 0 A0                  (100-27-13)
ECONN44X50                       J1                                 1   1     23  23   1 2           2 0 D0                  (100-9-13)
ECONN44X50                       J1                                 1   1     24  24   1 4           4 0 D1                  (100-10-13)
ECONN44X50                       J1                                 1   1     25  25   1 6           6 0 D2                  (100-11-13)
ECONN44X50                       J1                                 1   1     26  26   1 8           8 0 D3                  (100-12-13)
ECONN44X50                       J1                                 1   1     27  27   1 10         10 0 D4                  (100-13-13)
ECONN44X50                       J1                                 1   1     28  28   1 12         12 0 D5                  (100-14-13)
ECONN44X50                       J1                                 1   1     29  29   1 14         14 0 D6                  (100-15-13)
ECONN44X50                       J1                                 1   1     30  30   1 16         16 0 D7                  (100-16-13)
ECONN44X50                       J1                                 1   1     31  31   1 18         18 0 D8                  (100-17-13)
ECONN44X50                       J1                                 1   1     32  32   1 20         20 0 D9                  (100-18-13)
ECONN44X50                       J1                                 1   1     33  33   1 22         22 0 D10                 (100-19-13)
ECONN44X50                       J1                                 1   1     34  34   1 24         24 0 D11                 (100-20-13)
ECONN44X50                       J1                                 1   1     35  35   1 26         26 0 D12                 (100-21-13)
ECONN44X50                       J1                                 1   1     36  36   1 28         28 0 D13                 (100-22-13)
ECONN44X50                       J1                                 1   1     37  37   1 30         30 0 D14                 (100-23-13)
ECONN44X50                       J1                                 1   1     38  38   1 32         32 0 D15                 (100-24-13)
ECONN44X50                       J1                                 1   1     39  39   1 34         34 0                     (0-0-0)
ECONN44X50                       J1                                 1   1     40  40   1 36         36 0                     (0-0-0)
ECONN44X50                       J1                                 1   1     41  41   1 38         38 0                     (0-0-0)
ECONN44X50                       J1                                 1   1     42  42   1 40         40 0 VCC                 (100-5-13)
ECONN44X50                       J1                                 1   1     43  43   1 42         42 0                     (0-0-0)
ECONN44X50                       J1                                 1   1     44  44   1 44         44 0 GND                 (91-1-13)
OP215A                           U13                               70   1      1   1   1 2           2 0 $1N10_13            (208-18-13)
OP215A                           U13                               70   1      2   2   1 3           3 0 $1N20_13            (208-20-13)
OP215A                           U13                               70   1      3   3   1 1           1 0 WR0                 (100-47-13)
OP215A                           U13                               70   1      4   4   1 8           8 0 VDD                 (87-1-13)
OP215A                           U13                               70   1      5   5   1 4           4 0 VEE                 (297-1-13)
OP215A                           U13                               71   1      1   1   2 6           6 0 $1N10               (208-15-13)
OP215A                           U13                               71   1      2   2   2 5           5 0 $1N20               (208-17-13)
OP215A                           U13                               71   1      3   3   2 7           7 0 WR1                 (100-48-13)
OP215A                           U13                               71   1      4   4   2 8           8 0 VDD                 (87-1-13)
OP215A                           U13                               71   1      5   5   2 4           4 0 VEE                 (297-1-13)
PCAP-SM7343-100U                 C15                               26   1      1   1   1 1           1 0 VCC                 (100-5-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
PCAP-SM7343-100U                 C15                               26   1      2   2   1 2           2 0 GND                 (91-1-13)
PCAP-SM7343-100U                 C16                               25   1      1   1   1 1           1 0 VCC                 (100-5-13)
PCAP-SM7343-100U                 C16                               25   1      2   2   1 2           2 0 GND                 (91-1-13)
RES-SMD1206-3K                   R1                                57   1      1   1   1 1           1 0 $2N27               (194-13-13)
RES-SMD1206-3K                   R1                                57   1      2   1   1 2           2 0 $2N25               (194-11-13)
RES-SMD1206-3K                   R2                                56   1      1   1   1 1           1 0 VCC                 (100-5-13)
RES-SMD1206-3K                   R2                                56   1      2   1   1 2           2 0 $2N15               (194-3-13)
RES-SMD1206-3K                   R3                                54   1      1   1   1 1           1 0 WR1                 (100-48-13)
RES-SMD1206-3K                   R3                                54   1      2   1   1 2           2 0 $1N10               (208-15-13)
RES-SMD1206-3K                   R4                                55   1      1   1   1 1           1 0 WR0                 (100-47-13)
RES-SMD1206-3K                   R4                                55   1      2   1   1 2           2 0 $1N10_13            (208-18-13)
RES-SMD1206-100K                 R6                                75   1      1   1   1 1           1 0 GND                 (91-1-13)
RES-SMD1206-100K                 R6                                75   1      2   1   1 2           2 0 $1N20               (208-17-13)
RES-SMD1206-100K                 R7                                73   1      1   1   1 1           1 0 $1N14_13            (208-19-13)
RES-SMD1206-100K                 R7                                73   1      2   1   1 2           2 0 AMP1_IN             (208-1-13)
RES-SMD1206-100K                 R8                                72   1      1   1   1 1           1 0 $1N14               (208-16-13)
RES-SMD1206-100K                 R8                                72   1      2   1   1 2           2 0 AMP2_IN             (208-14-13)
RES-SMD1206-100K                 R9                                74   1      1   1   1 1           1 0 GND                 (91-1-13)
RES-SMD1206-100K                 R9                                74   1      2   1   1 2           2 0 $1N20_13            (208-20-13)
9P_PCONN                         J2                                 4   1      1   1   1 1           1 0 VDD                 (87-1-13)
9P_PCONN                         J2                                 5   1      1   1   2 2           2 0 VDD                 (87-1-13)
9P_PCONN                         J2                                 7   1      1   1   3 3           3 0 GND                 (91-1-13)
9P_PCONN                         J2                                 2   1      1   1   4 4           4 0 VEE                 (297-1-13)
9P_PCONN                         J2                                 3   1      1   1   5 5           5 0 VEE                 (297-1-13)
9P_PCONN                         J2                                 9   1      1   1   6 6           6 0 GND                 (91-1-13)
9P_PCONN                         J2                                 6   1      1   1   7 7           7 0 VCC                 (100-5-13)
9P_PCONN                         J2                                10   1      1   1   8 8           8 0 VCC                 (100-5-13)
9P_PCONN                         J2                                 8   1      1   1   9 9           9 0 GND                 (91-1-13)
54ALS1008_LCC                    U7                                33   1      1   1   1 2           2 0 $1N25               (208-8-13)
54ALS1008_LCC                    U7                                33   1      2   1   1 3           3 0 $1N26               (208-9-13)
54ALS1008_LCC                    U7                                33   1      3   2   1 4           4 0 ~RAMRD              (100-51-13)
54ALS1008_LCC                    U7                                34   1      1   1   2 6           6 0 $1N29_12            (208-12-13)
54ALS1008_LCC                    U7                                34   1      2   1   2 8           8 0 $1N27               (208-10-13)
54ALS1008_LCC                    U7                                34   1      3   2   2 9           9 0 $1N26               (208-9-13)
54ALS1008_LCC                    U7                                32   1      1   1   3 13         13 0 $1N30               (208-13-13)
54ALS1008_LCC                    U7                                32   1      2   1   3 14         14 0 $1N28               (208-11-13)
54ALS1008_LCC                    U7                                32   1      3   2   3 12         12 0 $1N25               (208-8-13)
54ALS1008_LCC                    U7                                31   1      1   1   4 18         18 0 GND                 (91-1-13)
54ALS1008_LCC                    U7                                31   1      2   1   4 19         19 0 GND                 (91-1-13)
54ALS1008_LCC                    U7                                31   1      3   2   4 16         16 0                     (0-0-0)
54ALS1008_LCC                    U7                                 0   2      1   1   5 20         20 1 VCC                 (100-5-13)
54ALS1008_LCC                    U7                                 0   3      1   1   6 10         10 1 GND                 (91-1-13)
54ALS1008_LCC                    U7                                 0   4      1   1   7 1           1 1                     (0-0-0)
54ALS1008_LCC                    U7                                 0   4      1   1   8 5           5 1                     (0-0-0)
54ALS1008_LCC                    U7                                 0   4      1   1   9 7           7 1                     (0-0-0)
54ALS1008_LCC                    U7                                 0   4      1   1  10 11         11 1                     (0-0-0)
54ALS1008_LCC                    U7                                 0   4      1   1  11 15         15 1                     (0-0-0)
54ALS1008_LCC                    U7                                 0   4      1   1  12 17         17 1                     (0-0-0)
74ALS00_SOP                      U19                               30   1      1   1   1 1           1 0 DA6                 (100-41-13)
74ALS00_SOP                      U19                               30   1      2   1   1 2           2 0 DA2                 (100-37-13)
74ALS00_SOP                      U19                               30   1      3   2   1 3           3 0 $1N29_12            (208-12-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
74ALS00_SOP                      U19                               27   1      1   1   2 4           4 0 DA0                 (100-35-13)
74ALS00_SOP                      U19                               27   1      2   1   2 5           5 0 DA4                 (100-39-13)
74ALS00_SOP                      U19                               27   1      3   2   2 6           6 0 $1N30               (208-13-13)
74ALS00_SOP                      U19                               28   1      1   1   3 9           9 0 DA1                 (100-36-13)
74ALS00_SOP                      U19                               28   1      2   1   3 10         10 0 DA5                 (100-40-13)
74ALS00_SOP                      U19                               28   1      3   2   3 8           8 0 $1N28               (208-11-13)
74ALS00_SOP                      U19                               29   1      1   1   4 12         12 0 DA3                 (100-38-13)
74ALS00_SOP                      U19                               29   1      2   1   4 13         13 0 DA7                 (100-42-13)
74ALS00_SOP                      U19                               29   1      3   2   4 11         11 0 $1N27               (208-10-13)
74ALS00_SOP                      U19                                0   2      1   1   5 7           7 1 GND                 (91-1-13)
