
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
74ALS655_SOP                     U10                               68   1      6   4   1 5           5 0 A1                  (100-28-13)
74ALS655_SOP                     U10                               68   1      7   5   1 6           6 0 A2                  (100-29-13)
74ALS655_SOP                     U10                               68   1      8   6   1 7           7 0 A3                  (100-30-13)
74ALS655_SOP                     U10                               68   1      9   7   1 8           8 0 A4                  (100-31-13)
74ALS655_SOP                     U10                               68   1     10   8   1 9           9 0 A5                  (100-32-13)
74ALS655_SOP                     U10                               68   1     11   9   1 10         10 0 A6                  (100-33-13)
74ALS655_SOP                     U10                               68   1     12  10   1 11         11 0 A7                  (100-34-13)
74ALS655_SOP                     U10                               68   1     13  11   1 21         21 0                     (0-0-0)
74ALS655_SOP                     U10                               68   1     14  12   1 22         22 0                     (0-0-0)
74ALS655_SOP                     U10                               68   1     15  13   1 20         20 0 D0                  (100-9-13)
74ALS655_SOP                     U10                               68   1     16  14   1 19         19 0 D1                  (100-10-13)
74ALS655_SOP                     U10                               68   1     17  15   1 18         18 0 D2                  (100-11-13)
74ALS655_SOP                     U10                               68   1     18  16   1 17         17 0 D3                  (100-12-13)
74ALS655_SOP                     U10                               68   1     19  17   1 16         16 0 D4                  (100-13-13)
74ALS655_SOP                     U10                               68   1     20  18   1 15         15 0 D5                  (100-14-13)
74ALS655_SOP                     U10                               68   1     21  19   1 14         14 0 D6                  (100-15-13)
74ALS655_SOP                     U10                               68   1     22  20   1 13         13 0 D7                  (100-16-13)
74ALS655_SOP                     U10                                0   2      1   1   2 12         12 1 GND                 (91-1-13)
74ALS655_SOP                     U10                                0   3      1   1   3 24         24 1 VCC                 (100-5-13)
74ALS655_SOP                     U11                               66   1      1   1   1 1           1 0 $1N115              (145-17-13)
74ALS655_SOP                     U11                               66   1      2   1   1 2           2 0 ~RAMRD              (100-51-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
74ALS655_SOP                     U11                               66   1      3   1   1 23         23 0 WR1                 (100-48-13)
74ALS655_SOP                     U11                               66   1      4   2   1 3           3 0 BANK1               (100-44-13)
74ALS655_SOP                     U11                               66   1      5   3   1 4           4 0 A0                  (100-27-13)
74ALS655_SOP                     U11                               66   1      6   4   1 5           5 0 A1                  (100-28-13)
74ALS655_SOP                     U11                               66   1      7   5   1 6           6 0 A2                  (100-29-13)
74ALS655_SOP                     U11                               66   1      8   6   1 7           7 0 A3                  (100-30-13)
74ALS655_SOP                     U11                               66   1      9   7   1 8           8 0 A4                  (100-31-13)
74ALS655_SOP                     U11                               66   1     10   8   1 9           9 0 A5                  (100-32-13)
74ALS655_SOP                     U11                               66   1     11   9   1 10         10 0 A6                  (100-33-13)
74ALS655_SOP                     U11                               66   1     12  10   1 11         11 0 A7                  (100-34-13)
74ALS655_SOP                     U11                               66   1     13  11   1 21         21 0                     (0-0-0)
74ALS655_SOP                     U11                               66   1     14  12   1 22         22 0                     (0-0-0)
74ALS655_SOP                     U11                               66   1     15  13   1 20         20 0 D8                  (100-17-13)
74ALS655_SOP                     U11                               66   1     16  14   1 19         19 0 D9                  (100-18-13)
74ALS655_SOP                     U11                               66   1     17  15   1 18         18 0 D10                 (100-19-13)
74ALS655_SOP                     U11                               66   1     18  16   1 17         17 0 D11                 (100-20-13)
74ALS655_SOP                     U11                               66   1     19  17   1 16         16 0 D12                 (100-21-13)
74ALS655_SOP                     U11                               66   1     20  18   1 15         15 0 D13                 (100-22-13)
74ALS655_SOP                     U11                               66   1     21  19   1 14         14 0 D14                 (100-23-13)
74ALS655_SOP                     U11                               66   1     22  20   1 13         13 0 D15                 (100-24-13)
74ALS655_SOP                     U11                                0   2      1   1   2 12         12 1 GND                 (91-1-13)
74ALS655_SOP                     U11                                0   3      1   1   3 24         24 1 VCC                 (100-5-13)
74ALS655_SOP                     U12                               67   1      1   1   1 1           1 0 WR0                 (100-47-13)
74ALS655_SOP                     U12                               67   1      2   1   1 2           2 0 ~RAMRD              (100-51-13)
74ALS655_SOP                     U12                               67   1      3   1   1 23         23 0 $1N115_8            (145-18-13)
74ALS655_SOP                     U12                               67   1      4   2   1 3           3 0 BANK0               (100-43-13)
74ALS655_SOP                     U12                               67   1      5   3   1 4           4 0 A0                  (100-27-13)
74ALS655_SOP                     U12                               67   1      6   4   1 5           5 0 A1                  (100-28-13)
74ALS655_SOP                     U12                               67   1      7   5   1 6           6 0 A2                  (100-29-13)
74ALS655_SOP                     U12                               67   1      8   6   1 7           7 0 A3                  (100-30-13)
74ALS655_SOP                     U12                               67   1      9   7   1 8           8 0 A4                  (100-31-13)
74ALS655_SOP                     U12                               67   1     10   8   1 9           9 0 A5                  (100-32-13)
74ALS655_SOP                     U12                               67   1     11   9   1 10         10 0 A6                  (100-33-13)
74ALS655_SOP                     U12                               67   1     12  10   1 11         11 0 A7                  (100-34-13)
74ALS655_SOP                     U12                               67   1     13  11   1 21         21 0                     (0-0-0)
74ALS655_SOP                     U12                               67   1     14  12   1 22         22 0                     (0-0-0)
74ALS655_SOP                     U12                               67   1     15  13   1 20         20 0 D8                  (100-17-13)
74ALS655_SOP                     U12                               67   1     16  14   1 19         19 0 D9                  (100-18-13)
74ALS655_SOP                     U12                               67   1     17  15   1 18         18 0 D10                 (100-19-13)
74ALS655_SOP                     U12                               67   1     18  16   1 17         17 0 D11                 (100-20-13)
74ALS655_SOP                     U12                               67   1     19  17   1 16         16 0 D12                 (100-21-13)
74ALS655_SOP                     U12                               67   1     20  18   1 15         15 0 D13                 (100-22-13)
74ALS655_SOP                     U12                               67   1     21  19   1 14         14 0 D14                 (100-23-13)
74ALS655_SOP                     U12                               67   1     22  20   1 13         13 0 D15                 (100-24-13)
74ALS655_SOP                     U12                                0   2      1   1   2 12         12 1 GND                 (91-1-13)
74ALS655_SOP                     U12                                0   3      1   1   3 24         24 1 VCC                 (100-5-13)
3296P-103-ND                     R5                                35   1      1   1   1 1           1 0 $1N22               (274-2-13)
3296P-103-ND                     R5                                35   1      2   2   1 3           3 0 DP1_NEG             (208-6-13)
3296P-103-ND                     R5                                35   1      3   3   1 2           2 0 DP1_POS             (208-7-13)
4310R-1-103-ND                   RN1                               52   1      1   1   1 1           1 0 GND                 (91-1-13)
4310R-1-103-ND                   RN1                               52   1      2   2   1 2           2 0 HS3                 (190-33-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
4310R-1-103-ND                   RN1                               52   1      3   2   1 3           3 0 HS2                 (190-21-13)
4310R-1-103-ND                   RN1                               52   1      4   2   1 4           4 0 HS1                 (190-19-13)
4310R-1-103-ND                   RN1                               52   1      5   2   1 5           5 0 HS4                 (190-25-13)
4310R-1-103-ND                   RN1                               52   1      6   2   1 6           6 0 HS0                 (190-17-13)
4310R-1-103-ND                   RN1                               52   1      7   2   1 7           7 0 HS5                 (190-27-13)
4310R-1-103-ND                   RN1                               52   1      8   2   1 8           8 0 HS6                 (190-29-13)
4310R-1-103-ND                   RN1                               52   1      9   2   1 9           9 0 HS7                 (190-31-13)
4310R-1-103-ND                   RN1                               52   1     10   2   1 10         10 0                     (0-0-0)
4310R-1-103-ND                   RN2                               51   1      1   1   1 1           1 0 VCC                 (100-5-13)
4310R-1-103-ND                   RN2                               51   1      2   2   1 2           2 0 HS3                 (190-33-13)
4310R-1-103-ND                   RN2                               51   1      3   2   1 3           3 0 HS2                 (190-21-13)
4310R-1-103-ND                   RN2                               51   1      4   2   1 4           4 0 HS1                 (190-19-13)
4310R-1-103-ND                   RN2                               51   1      5   2   1 5           5 0 HS4                 (190-25-13)
4310R-1-103-ND                   RN2                               51   1      6   2   1 6           6 0 HS0                 (190-17-13)
4310R-1-103-ND                   RN2                               51   1      7   2   1 7           7 0 HS5                 (190-27-13)
4310R-1-103-ND                   RN2                               51   1      8   2   1 8           8 0 HS6                 (190-29-13)
4310R-1-103-ND                   RN2                               51   1      9   2   1 9           9 0 HS7                 (190-31-13)
4310R-1-103-ND                   RN2                               51   1     10   2   1 10         10 0                     (0-0-0)
