=======================================================================
Expedition PCB - Pinnacle - Version 2008.0.273.242
=======================================================================

Job Directory:    C:\MGTraining\projects\DEMO\PCB\


Design Units:(th)

Test Point Log:   C:\MGTraining\projects\DEMO\PCB\LogFiles\testptlog_00.txt

Tue Jan 22 15:42:37 2008

Net Name        Ref                  X          Y     Side    Location        Operation Result
$1N14           TP74              2,178.56     620.63 Bottom  Trace           Add       Succeeded  
$1N14_13        TP75              2,082.41      1,345 Bottom  Hanger          Add       Failed    
$1N14_13        TP75              2,116.56   1,343.25 Bottom  Hanger          Add       Failed    
$1N14_13        TP75              2,134.16    1,341.5 Bottom  Hanger          Add       Failed    
$1N14_13        TP75                 2,175   1,237.93 Bottom  Hanger          Add       Failed    
$1N14_13        TP75                 2,200      1,200 Bottom  Hanger          Add       Failed    
$1N14_13        TP75              2,215.78   1,171.28 Bottom  Hanger          Add       Failed    
$1N14_13        TP75                 2,250    1,155.5 Bottom  Hanger          Add       Failed    
$1N14_13        TP75              2,284.22   1,171.28 Bottom  Hanger          Add       Failed    
$1N14_13        TP75                 2,300   1,205.06 Bottom  Hanger          Add       Failed    
$1N14_13        TP75              2,340.84    1,263.9 Bottom  Trace           Add       Succeeded  
$2N15           TP76                 1,930     497.03 Bottom  Hanger          Add       Failed    
$2N27           TP76                 1,300     507.52 Bottom  Hanger          Add       Failed    
$2N27           TP76              1,276.28     482.81 Bottom  Hanger          Add       Failed    
$2N27           TP76              1,252.57     338.82 Bottom  Hanger          Add       Failed    
$2N27           TP76              1,256.08     215.02 Bottom  Hanger          Add       Failed    
$2N27           TP76              1,268.29      211.5 Bottom  Hanger          Add       Failed    
$2N27           TP76               1,288.5        200 Bottom  Hanger          Add       Failed    
$2N27           TP76                 1,300     166.75 Bottom  Hanger          Add       Failed    
AMP1_IN         TP76                 2,050      1,481 Bottom  Hanger          Add       Failed    
AMP2_IN         TP76              1,991.31      1,450 Bottom  Hanger          Add       Failed    
AMP2_IN         TP76              1,966.81    1,314.9 Bottom  Trace           Add       Succeeded  
$1N25           TP77                962.06   1,236.47 Bottom  Hanger          Add       Succeeded  
$1N26           TP78                825.24   1,255.98 Bottom  Hanger          Add       Succeeded  
$1N27           TP79                824.99   1,757.96 Bottom  Hanger          Add       Succeeded  
$1N28           TP80                152.73   1,520.49 Bottom  Hanger          Add       Succeeded  
